,Sikayet Icerigi
71,TurkNet Youtube.com bağlantı sorunları ve giriş yapılmıyor. Kaç gündür Youtube.com'a giriş yapamıyorum. Bağlantı sorunları devam ediyor. Sorunun çözülmemesi durumunda farklı bir sağlayıcıya geçiş işlemi yapacağım. Sorunumun bir an önce çözüme kavuşturulmasını istiyorum.
74,"Emirdağ-İzmir bileti aldık fakat otobüs almadan yoluna devam etti. Şaka gibi, başka bir şey değil. Obilet üzerinden aldık ama yazıhane kaptana bilgi vermediği için bizi almamış, yolda kaldık. Bir daha asla Erova için bilet almam. Obilet üzerinden iletişime geçip şikayette bulundum."
75,Premium 3 günlük ücretsiz deneyim hakkımı önceden kullandığımı fark etmemişim. Bilmediğim için kabul ettim fakat bu aboneliğimi kullanmak istemiyorum. Aboneliğimi de iptal ettim. Ücretimin en kısa zamanda hesabıma geri yatırılmasını talep ediyorum. Teşekkür ederim anlayışınız için.
76,"Şu faturası her zaman en fazla 190 TL gelirken, bu ay 545 TL gelmiş. Evde o kadar su tüketmiyoruz, bu ay 2 katı gelmiş. Şikayetim bu yüzden. ASKİ'yi arıyorum, sinyal veriyorlar. Kullanmadığım halde bu kadar geliyorsa, kullansak ne kadar gelir acaba? Ne yapmalıyım acaba?"
77,"02.07.2024 saat 22.00'de Konya'dan 17. perondan Lüks Ereğli firmalı araca bindim. Aracın bagajı boş olmasına rağmen, eşyam çok diye benden para teklifi yapıp fahiş bir bütçe istenmiştir. Bilet param kadar ödeme yaptım. Hakkı var mıdır? Görselde dekont bilgisi yer almaktadır."
78,"Brandy's adlı siteden 3.679,20 TL'ye bir Polo yaka t-shirt aldık. Aldığımız tarih 14.06.2024. 20 gün geçmesine rağmen ürünümüz teslim edilmedi. Doğum günü için almıştık, her şey site yüzünden rezil oldu. Hediyemizi bile veremedik. Ürünün gelip gelmeyeceği bile muamma. Söz konusu siteden ürün aldığıma pişman oldum."
79,"02/07/2024 tarihinde bilgim dışında 259 TL para çekimi gerçekleşti. İadesini istiyorum. Böyle bir üyeliğim olmamasına rağmen, bu neden ve nasıl yapılıyor? Hesabımı bir süreliğine kapatmak zorunda kaldım. Bu nasıl bir saçmalıktır? Güvenli bir yer kalmadı mı? Banka hesaplarına giriş engellenmeli bence."
80,18.000 TL Yapı Kredi Bankası'na talimat verdim. Sistem de onaylandı diyor ama ne yazık ki param hala yatmadı. Eğer param yatmazsa bir daha bu siteden oynamayacağım ve hiçbir tanıdığıma da oynatmayacağım. Ben bu kadar saçma bir site görmedim. Paramı yatırmanızı istiyorum.
84,"Antalya'dan Alanya'ya gitmek için Enuygun'dan bilet aldım, Alanyalılar Turizm'den fakat sabah otobüs sefer saatinde gelmedi. Arıza çıkmış yolda, geç gelineceğini söylediler. Bileti iptal edeceklerini, iade yapacaklarını ve başka bilet almamı istediler. Öyle yaptık fakat iademi yapmadılar. Neredeyse 1 ay oldu. Sefer gerçekleştirilmiş gözüküyor, mağdurum."
85,"İyi akşamlar, bu benim idi. Her oynadığım elde kaybediyorum. Bir el gelse on el kaybederim, bana el gelmiyor. Hangi elde oynarsam oynayayım yine gelmiyor, kaybediyorum. Ben de sıkıldım, el gelmeyince nasıl oynayacağım bilmiyorum. Hangi yolu denesem yine gelmiyor, 16 milyondan düştüm."
86,26/06 tarihinde bir sipariş verdim ama ürün elime ulaşmadığı halde şu an teslim edildi yazıyor. Teslim edildi bildirimi 01/07 tarihinde saat 10 civarında geldi o saatte kargolar bile çalışmıyor. Böyle unlu ve bu kadar tercih edilen bir mağazada nasıl böyle bir hata yaşanıyor anlamıyorum.
87,"İstanbul Üniversitesi AUZEF'te okumaktayım. Güz döneminden kalma 2 adet kaldığım dersi vermem gerekiyor, fakat AUZEF'te yaz okulu bulunmadığı ve başka okulların yaz okulu programına katılınabileceği söylendi. AUZEF yetkilileri dahil kimseden bir yardım alamıyorum. Bu konu hakkında yetkililerin yardımcı olmasını rica ediyorum."
91,Ya abonelik iptali için hiçbir şey yapamıyorum. Denemek için bir kere bulaştım daha kurtulamıyorum. Uygulamada abonelik iptal edildi görünüyor. Play storede abonelik görünmüyor ama her gün karttan çekim yapmayı deniyor. Söyler misiniz sizden yakamı nasıl kurtarabilirim
93,"Kargomun olduğu kargo merkezi konumu yanlış ve öyle bir yer yok. 25 gün bekledim, bugün dağıtıma çıktı ve elime gelmedi. Bu kadarı da olmaz. Kargom nerede onu bile bilmiyorum. Cidden çok mahcubum, arkadaşıma aldığım hediyeler geciktiği için hediyesini veremedim."
95,"Bilkent şehir hastanesinde MR çekildim. 2 haftaya sonuç çıkar dediler ve hala sonucum çıkmadı. Çoğu insanda da aynı mağduriyeti görüyorum. Sorunumun çözülmesini, raporumun e-nabıza girilmesini istiyorum. Bu şekilde olmamalı. Tanı ve tedavi için bekletilmemeli sağlık bu sonuçta..."
100,03.07.2024 saat 01.14 sularında iyzico+iyzico ödeme hız İstanbul tarafından İş Bankası hesabımdan bilgim olmadan 1323 TL para çekim gerçekleştirmiştir. Haberin olmadan Böyle bir şey nasıl mümkün olabilir? Kart bilgilerime benden habersiz nasıl ulaşabilirsiniz? Sorunun acilen çözülmesi çözülmediği durumda ilgili mercilere şikayette bulunacağımı bildirmek isterim.
104,2 hafta oldu ve hala siparişim kargoya verilmedi Beklemedeyiz? Kapıda ödeme seçeneği ile ödeyin pişman olursunuz! Hiçbir şekilde geri donut yok bir mesajla bilgilendirme yok. Gecikmeler için bir açıklama yok. Bir daha alışveriş yapmayı düşünmüyorum.!
105,Planlanan teslim tarihi 21 Haziran olan 20294157185296 takip numaralı kargomdan 3 Temmuz oldu hala teslim olmadı Adana aktarma da gözüküyor 14 Hazirandan beri daha ne kadar bekleteceksiniz?! Muhatap yok bilgilendirme sağlayan yok nasıl iş mağduruz...
108,"2017 model R25 kullanıcısıyım. Bugün motorla biraz kesici yaptım ve sonrasında motor 3. ve 4. viteslerde hızlanırken kesiciye girmeye başladı. Hızdan düştü, bunun sebebi ne olabilir? 7000 devirden sonra 3. ve üstü viteslerde direkt kesiciye giriyor. Motor hızlı gitmiyor."
109,"Merhabalar, ben Türk Telekom müşterisiyim. Normalde her ay ortalama 300 TL fatura gelirken bu ay 575 TL fatura geldi. Müşteri hizmetlerine ulaşmaya çalıştım ama beni paket almaya zorladılar. Hattımı değiştirmeye karar verdim, çünkü arıza kaydı bile oluşturamadım."
112,Garanti Bankası kredi kartım avukata devredilmek yerine günlük faiz işletilip maaşımı komple kesmektedir. 3 aydır maaş alamayıp mağdur olmaktayım. Bir an önce çözümlenmesini ve hayatımı sürdürebilmem için maaşımı almam gerekiyor. Sadece yasal olarak 1/4 kesilmesi gerekiyor.
113,"15 Haziran'da online olarak yapmış olduğum alışveriş hala kargoya bile verilmedi. Kaç gündür bekliyorum. Direkt firmayı aradım, N**** Hanım'a yönlendirdiler, kontrol ediyorum. Yazıp geri dönüş sağlamadı. Kesinlikle alışveriş yapılmayacak bir site, üstelik ürünler pahalı olduğu için göndermeseler sorun yok diyemiyorum."
117,"1 gün boyunca VFS Global'den randevu almaya çalışıyorum. İlk başta giriş yapamadım. Sonra onu hallettim, tam randevu sırasında ülke kodunu kabul etmiyor. Bu nasıl bir saçmalıktır ya, vallahi deli oldum. Randevu almak neden bu kadar zor, anlamış değilim. Lütfen bu konuda bana yardımcı olabilir misiniz?"
119,"İş Bankası mobil uygulaması sürekli 'güvenlik uygulamalarımız gereği oturumunuz sonlanmıştır' şeklinde uyarı veriyor ve defalarca arayıp teyit alınmasına rağmen sürekli tekrarlıyor bu hatayı, acil düzeltin bu uygulamanın amacını anlayamadım. Çok sinir bozucu bir hal almaya başladı."
120,03/07/2024 tarihinde saat 00.58 de kartımdan bir anda 223.90 TL tutarında Exxen aboneliği için para çekildi. Ancak bugüne kadar kullanmış olduğum hiçbir hesabımda abonelik gözükmüyor ve ben üyeliğimi iptal etmek istiyorum. Önceden de deneme üyeliği almıştım ancak böyle bir şey olmamıştı. Lütfen bu mağduriyeti çözelim.
123,"Uygulamada kiralamanın yasak olduğunu bilmeden kiralamak istedim fakat hesabım hemen kapatıldı. Uygulamayı kullanmak istiyorum fakat kullanamıyorum. Tek bir hatadan kapatmak ve açılmaması yanlış, bir hak daha verilmesini rica ediyorum fakat asla geri dönüş yapılmıyor. İlgilenilirse çok sevinirim."
125,Ebebek mağazasından kızımın kıyafetleri için aldığımız leke çıkarıcı yine Ebebek mağazasından aldığımız tişörtünün rengini soldurdu. Daha 1 kere giydiği ürün bu hale geldi. Çocuk sonuçta yediğini döküyor ama bu ürünün yeni kıyafete bu kadar zarar vermesi ilginç
127,"İyi akşamlar, ben Okey 101 Yala'da oynuyorum. Sürekli paramı yiyip el vermiyor. Kafayı yemek üzereyim. Bir insan peş peşe 5 el kaybeder mi? Ya vallahi ya, bu yüzden çok şikayetçiyim. Sistem tamamen bütün parayı kendine alıyor. Buna bir çare bulunursa iyi olur."
129,"İnstrett'ten Adidas marka ayakkabı aldım. 2 gün kullandıktan sonra ayakkabının ön tarafından, dikiş yerlerinden ayak baş parmaklarımı ağrıttı, giyemedim. İncelemeye gönderdim, olumsuz cevap geldi. İlk kez alışveriş yaptığım İnstrett beni pişman etti. Giyemediğim ayakkabıya 2000 TL para vermiş oldum."
130,"Bile bile bu yaz gününde sıcak limonata koyuyorlar, Uşak Karun AVM (Tavuk Dünyası). Böyle bir tuhaflığı daha önce hiçbir restoranda görmedim. Müşterilerle ilgi alakası sıfır. Özensiz şekilde salata yapıp koyuyorlar. Üstelik nar ekşisini bile kaldırmışlar. Elemanların nitelikli seçilmesi gerektiği kanaatindeyim."
133,"Marmara Silivri Cezaevi'nde dayım yatıyor. Salgın ve zehirlenme hastalığı var. Bütün mahkumlarda ishal, kusma ve ateş var. Hastaneye götürmüyorlar, ilgilenmiyorlar. Sağlık Bakanlığı bu olaya bir el atsın lütfen. Bütün mahkumlar çok kötü durumda, bir çare bulun lütfen."
136,Geçen ay yaşanan 6gb faturasız tarifem 3 GB'a düşürüldü uzun yıllardır kullanıyorum ve fahiş fiyat da cabası. Vodafone yanımda da tarife GB farklı gösteriyor aynı zamanda. Eski tarifeme geçişimi sağlamanızı ya da daha uygun tarifelere geçiş yapmak istiyorum.
138,"VakıfBank kredi kullanımında, ""VakıfBank kazandıran tarife"" adı altında yaklaşık 3937 TL ücret alındı. Zaten kredi kullanım ücreti, sigorta ücreti ve kredi faizi ödüyoruz, bu ücreti de ödemek gayri ahlaki bir durum. Bahse konu tarifenin iptal edilmesi, ödemenin de iade edilmesini talep ediyorum."
139,"23 Haziranda vermiş olduğum siparişim hala kargoya verilmedi, üstelik firmayla bizzat iletişime geçtim bana siparişimin kargoya verildiğini söylediler fakat vermemişler. Tekrar yazdığımda yarın verilecek dediler dalga geçercesine fakat 2 gün oldu hala kargoya falan verilmedi siparişim. Geciktirdikleri yetmezmişçesine bir de 2 kez yanlış bilgilendirme yapıldı."
141,"Premium sohbet odası açmak için para yükledim ve Premium sohbet odası açmak için para ödedim ama Premium sohbet odası açılmadı. Açılmadı, ben de iptal ettim ama param yine ödendi. Ancak Premium sohbet odası açılmadı. Lütfen oyunda oyun kodum 23762340 kişiyim."
144,"Merhaba, neden yedek parça bulunamıyor? Her yere baktım, Amazon veya Google'da bulamıyorum. Ne yapmam lazım? Nerede telafi edebilirim kapağın üstündeki buhar düğmesini? Yardımcı olursanız sevinirim. Lütfen destek ihtiyacım var. Şimdiden teşekkür ederim."
146,LBank borsasından para çekemiyorum. Google Authenticator kodu ve maile gönderdikleri kod doğru olmasına rağmen 20097 kod hatası veriyor. Mail attım ama kimse dönüş yapmadı. Mağdur oldum. Bu sorunu daha önce yaşayanlar oldu mu? Lütfen yardımcı olunuz. Teşekkür ederim.
148,Baby Face generator sitesine giriş yaptığımda üyelik oluşturdum. Benden Kart bilgilerim istendi fakat ödeme olarak 0$ yazıyordu bu yüzden kart bilgilerimi paylaştım fakat bugün hesabımdan 342₺ ödeme alınmış. Bu konuda herhangi bir bilgilendirme yoktu Paramın iadesini istiyorum.
149,"PTT-NALM7K326-260624 numaralı siparişim, teslim almadığım halde teslim edildi olarak gözüküyor. Apartman kamera kayıtlarını inceledik. Kargo o gün hiç gelmemiş, zaten gelse kargo kodunu istemesi gerekirdi fakat kodu da kimse arayıp sormadı. Çözüm için bekletiliyorum. Mağduriyetimin acil olarak çözülmesini istiyorum."
150,"Türk Telekom'a ev interneti için tam iki senedir başvuru yapıyoruz fakat bir türlü sorun hal olmadı. Bize sürekli altyapı yok deniliyor ama binada herkes Wi-Fi kullanıyor. Bu nasıl oluyor? Madem altyapı yok, binadakiler bu interneti nereden çekiyor?"
151,"Vodafone'da yaklaşık 10 yıldır faturalı hat kullanıyordum. Mayıs ayında faturasız hatta geçtim. Son faturamı ödememe rağmen benden vergi adı altında 190,30 TL daha fatura kesilmiş. İtiraz etmek istediğimde ise bana yine kendi firmalarına bağlı bir mail adresi verdiler. Konuyla alakalı son faturanın iptalini istiyorum."
152,"Trendyol aracılığı ile satıcıdan 4 adet ürün aldım. Özensiz kargo yapması sebebiyle kırık geldiler. İade ettiğimde ise 2 ürün geri geldiğini söyleyip ücretimin tamamını iade etmediler. Ne Trendyol ne de satıcı çözüm olmadı. Sorun, ödenmeyen iade tutarı değil; insanları kandırmanız."
153,Param sağlam denilen sözde şirket tarafından 32 bin TL mağdur edildim. Bir de üstüne hakaret ediyorlar. Böyle bir terbiyesizlik yok. Hakaretlerini tek tek paylaşıyorum. Tüm hukuki haklarımı sonuna kadar kullanacağım. Bu yaptıkları cezasız kalmayacak.
154,"İş Bankası, mobil bankacılık şubesine giriş yapamıyorum, şubenize başvurun diyor. Yıl 2024, İş Bankası'nın yaptığı müşteriyi ayağına çağırmak. Çağrı merkezi, 'Biz bir şey bilmiyoruz' diyor. Ben muhatap bulamadım. Kimse de yardım etmiyor. Türkiye'nin en iyisi diyordum, yalan oldu."
158,"Merhabalar,"
160,Antakyalı depremzede esnafım. İşletmem tamamen yıkıldı. Faizsiz kredi başvurusunu yetiştiremedim. Başvurular yeniden açılacak mı yoksa olan oldu deyip hayatımıza devam mı edeceğiz hiçbir şey olmamış gibi Kimse bu konu hakkında bilgi vermiyor benim gibi bir sürü mağdur vatandaş var
164,Staj başvurusu için IBAN bilgisi ve isim soy isim içeren mobil bankacılık hesap cüzdanı görüntüsüne ihtiyacım var. Ziraat Bankası'nın mobil uygulamasından temin edilmiyor. Bu konuda yardım bekliyorum. Tarafıma mail yolu ile geri dönüş yapılırsa çok memnun olurum. E-postama PDF halinde atabilir misiniz?
165,Yapı Kredi World Kartımdan kesilen kart ücretinin tekrar tarafıma verilmesini talep ediyorum. Her ay hatırı sayılır bir miktar kullanmama rağmen kredi kartımdan üyelik ücreti kesilmiş. Bu ücretin iadesini talep ediyorum. Tarafımdan alınan 500 küsur lira ücretin tarafıma iadesini talep ediyorum.
166,"Zaferbet'te 1 yıldır oynuyorum bugüne kadar hiçbir sorunla karşılaşmamıştım ama Spor Turnuvasından kazandığım 2.500 TL hesabıma yatmadı, bekliyorum dönüş yapmıyorlar. Turnuvada kazandığım ücretin hesabıma aktarılmasını istiyorum. Borçlarımı ödemem gerekiyor."
167,Everara.com üzerinden 17.04.24 de sipariş ettiğim ve ödemesini yaptığım ürünler gelmedi. Firmaya defalarca email yazdım cevap verilmediği gibi Web sayfaları da kapanmış gözüküyor. Firmadan şikayetçiyim hiçbir muhatap bulamıyoruz. Yardımlarınızı rica ederim. Teşekkürler
168,"Zaferbet, bonuslar konusunda cimri davranıyor. 24 saati geçen bonusum eklenmedi. Canlı destekle iletişime geçiyorum, gerçekten acil bir sorunum olduğu için talep edemedim. Diyorum, bana hazır mesajla karşılık veriyorlar. Ne olacak, ekleseniz bonusumu? Çekimleri hızlı diyoruz ama Bonus konusunda cimriler."
171,Nasıl yanlış daireye elektrik bağlıyorsunuz. İşten eve bir geliyorum alt daire aboneliği olmamasına rağmen elektrik kullanıyor benim üstüme açılmış olanı hem de. Benim dairemde elektrik yok. Kapılarda daire numaraları da yazıyor. Nasıl bir iş bilmezlik bu ya
